work_year,experience_level,employee_residence,remote_ratio,company_location,company_size,salario_eur,job_title_mean,company_location_mean,employee_location_mean,job_title_map,employment_type_encoded
137121.89788235293,2,4,0,3,2,211600.0,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,2,4,0,3,2,184000.0,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,165600.0,148776.6704950495,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,105800.0,148776.6704950495,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,184000.0,148776.6704950495,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,105800.0,148776.6704950495,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,39,50,28,1,49361.68,49361.68,60847.63647058824,56573.100000000006,0,2
137121.89788235293,4,4,0,3,2,202400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,4,4,0,3,2,188600.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,165600.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,119600.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,184000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,138000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,197800.0,132053.22222222222,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,156400.0,132053.22222222222,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,227700.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,0,3,2,158424.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,5,0,5,2,206080.0,129600.18423809524,121364.27448275863,121645.07341176471,1,2
137121.89788235293,3,5,0,5,2,161920.0,129600.18423809524,121364.27448275863,121645.07341176471,1,2
137121.89788235293,3,4,100,3,2,110400.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,69000.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
